replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
0,56.0,56.0,1000.0,1000.0,0.00010275840759277344,0.004691123962402344,0.0,0.0
1,56.0,54.0,1000.0,1000.0,7.534027099609375e-05,0.004641294479370117,-2.0,0.0
2,56.0,55.0,1000.0,1000.0,7.367134094238281e-05,0.004735708236694336,-1.0,0.0
3,56.0,55.0,1000.0,1000.0,7.581710815429688e-05,0.00471949577331543,-1.0,0.0
4,56.0,56.0,1000.0,1000.0,7.510185241699219e-05,0.004630088806152344,0.0,0.0
5,56.0,55.0,1000.0,1000.0,7.295608520507812e-05,0.004670381546020508,-1.0,0.0
6,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.0046765804290771484,0.0,0.0
7,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004681825637817383,0.0,0.0
8,56.0,56.0,1000.0,1000.0,7.343292236328125e-05,0.004911661148071289,0.0,0.0
9,56.0,55.0,1000.0,1000.0,8.344650268554688e-05,0.004714250564575195,-1.0,0.0
10,56.0,54.0,1000.0,1000.0,7.557868957519531e-05,0.004694223403930664,-2.0,0.0
11,56.0,56.0,1000.0,1000.0,7.534027099609375e-05,0.004678010940551758,0.0,0.0
12,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.004683971405029297,0.0,0.0
13,56.0,56.0,1000.0,1000.0,7.295608520507812e-05,0.0046312808990478516,0.0,0.0
14,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.0047054290771484375,0.0,0.0
15,56.0,55.0,1000.0,1000.0,7.176399230957031e-05,0.004690408706665039,-1.0,0.0
16,56.0,55.0,1000.0,1000.0,7.295608520507812e-05,0.0046558380126953125,-1.0,0.0
17,56.0,55.0,1000.0,1000.0,7.677078247070312e-05,0.004635334014892578,-1.0,0.0
18,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004724264144897461,0.0,0.0
19,56.0,55.0,1000.0,1000.0,7.534027099609375e-05,0.004661083221435547,-1.0,0.0
20,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004660367965698242,0.0,0.0
21,56.0,55.0,1000.0,1000.0,7.152557373046875e-05,0.004649162292480469,-1.0,0.0
22,56.0,56.0,1000.0,1000.0,7.343292236328125e-05,0.004748821258544922,0.0,0.0
23,56.0,55.0,1000.0,1000.0,7.43865966796875e-05,0.004693031311035156,-1.0,0.0
24,56.0,55.0,1000.0,1000.0,7.343292236328125e-05,0.00469660758972168,-1.0,0.0
25,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.004660606384277344,0.0,0.0
26,56.0,55.0,1000.0,1000.0,7.2479248046875e-05,0.004662752151489258,-1.0,0.0
27,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004662752151489258,0.0,0.0
28,56.0,56.0,1000.0,1000.0,7.128715515136719e-05,0.004652738571166992,0.0,0.0
29,56.0,55.0,1000.0,1000.0,7.081031799316406e-05,0.004664897918701172,-1.0,0.0
30,56.0,55.0,1000.0,1000.0,7.367134094238281e-05,0.004675388336181641,-1.0,0.0
31,56.0,55.0,1000.0,1000.0,7.200241088867188e-05,0.004703998565673828,-1.0,0.0
32,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.0046539306640625,0.0,0.0
33,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004674434661865234,0.0,0.0
34,56.0,56.0,1000.0,1000.0,7.152557373046875e-05,0.004681587219238281,0.0,0.0
35,56.0,55.0,1000.0,1000.0,7.295608520507812e-05,0.004700183868408203,-1.0,0.0
36,56.0,56.0,1000.0,1000.0,7.104873657226562e-05,0.004662275314331055,0.0,0.0
37,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.004671573638916016,0.0,0.0
38,56.0,56.0,1000.0,1000.0,7.128715515136719e-05,0.004675149917602539,0.0,0.0
39,56.0,55.0,1000.0,1000.0,7.271766662597656e-05,0.00467371940612793,-1.0,0.0
40,56.0,55.0,1000.0,1000.0,7.200241088867188e-05,0.004793882369995117,-1.0,0.0
41,56.0,56.0,1000.0,1000.0,7.581710815429688e-05,0.004853963851928711,0.0,0.0
42,56.0,55.0,1000.0,1000.0,7.605552673339844e-05,0.004701137542724609,-1.0,0.0
43,56.0,56.0,1000.0,1000.0,9.1552734375e-05,0.0047533512115478516,0.0,0.0
44,56.0,56.0,1000.0,1000.0,7.557868957519531e-05,0.004678010940551758,0.0,0.0
45,56.0,56.0,1000.0,1000.0,7.486343383789062e-05,0.004702329635620117,0.0,0.0
