baseline,weighted
0,2
0,25
0,13
0,7
0,1
0,1
0,0
0,19
0,7
0,11
0,0
0,26
0,17
0,1
0,1
0,1
0,2
0,5
0,3
0,2
0,7
0,1
0,2
0,2
0,4
0,15
0,1
0,5
0,7
0,0
0,7
0,1
0,0
0,25
0,26
1,17
1,2
1,0
1,11
1,3
1,0
1,5
1,0
1,22
1,2
1,10
1,2
1,5
1,5
1,1
1,26
1,14
1,23
1,21
1,7
1,23
1,0
1,1
1,0
1,2
1,3
1,2
1,17
1,2
1,2
1,5
1,1
1,16
1,0
2,27
2,14
2,1
2,0
2,17
2,11
2,13
2,14
2,0
2,2
2,0
2,19
2,8
2,2
2,0
2,2
2,2
2,13
2,9
2,21
2,4
2,0
2,11
2,13
2,6
2,14
2,4
2,5
2,3
2,0
2,0
2,0
2,8
2,2
2,5
3,22
3,2
3,3
3,13
3,1
3,0
3,2
3,1
3,23
3,17
3,8
3,19
3,16
3,1
3,21
3,5
3,17
3,21
3,2
3,0
3,1
3,3
3,17
3,19
3,0
3,5
3,3
3,1
3,0
3,2
3,24
3,2
3,5
3,11
4,2
4,26
4,25
4,2
4,5
4,2
4,2
4,0
4,7
4,5
4,0
4,2
4,22
4,1
4,1
4,4
4,27
4,1
4,10
4,13
4,1
4,12
4,2
4,8
4,8
4,5
4,0
4,17
4,2
4,1
4,0
4,7
4,10
4,0
4,5
5,1
5,9
5,1
5,11
5,3
5,23
5,1
5,2
5,0
5,23
5,20
5,2
5,9
5,17
5,6
5,5
5,1
5,0
5,21
5,22
5,8
5,2
5,2
5,12
5,21
5,21
5,15
5,9
5,0
5,1
5,21
5,7
5,0
5,0
6,10
6,0
6,1
6,6
6,11
6,9
6,1
6,11
6,1
6,2
6,13
6,9
6,19
6,9
6,6
6,0
6,2
6,2
6,1
6,26
6,3
6,21
6,8
6,16
6,5
6,7
6,4
6,1
6,12
6,2
6,0
6,9
6,1
6,23
6,25
7,23
7,2
7,0
7,23
7,3
7,26
7,25
7,19
7,2
7,3
7,19
7,2
7,1
7,6
7,23
7,11
7,6
7,0
7,7
7,27
7,1
7,5
7,20
7,13
7,11
7,11
7,2
7,2
7,17
7,17
7,19
7,22
7,5
7,5
8,16
8,9
8,11
8,16
8,21
8,2
8,3
8,0
8,7
8,0
8,4
8,5
8,2
8,7
8,0
8,0
8,17
8,2
8,1
8,5
8,14
8,1
8,8
8,0
8,0
8,5
8,5
8,9
8,12
8,26
8,5
8,2
8,16
8,2
8,3
9,0
9,0
9,25
9,17
9,11
9,3
9,1
9,1
9,2
9,6
9,11
9,9
9,2
9,25
9,13
9,6
9,7
9,3
9,1
9,2
9,13
9,0
9,0
9,0
9,0
9,19
9,11
9,4
9,0
9,4
9,4
9,1
9,3
9,3
10,8
10,8
10,0
10,2
10,8
10,5
10,19
10,9
10,1
10,0
10,9
10,0
10,7
10,23
10,7
10,3
10,9
10,4
10,5
10,24
10,3
10,25
10,22
10,1
10,0
10,0
10,0
10,0
10,11
10,0
10,2
10,18
10,0
10,17
10,2
11,0
11,11
11,8
11,20
11,13
11,16
11,2
11,1
11,13
11,17
11,27
11,3
11,2
11,14
11,2
11,23
11,19
11,3
11,13
11,13
11,0
11,22
11,5
11,17
11,2
11,21
11,3
11,0
11,22
11,0
11,2
11,25
11,25
11,7
12,8
12,3
